marketplace	customer_id	review_id	product_id	product_parent	product_title	product_category	star_rating	helpful_votes	total_votes	vine	verified_purchase	review_headline	review_body	review_date
US	17786661	R3Q9SZS2EQR33D	B004LLILKK	627749351	Amazon eGift Card - Happy Father's Day (Argyle)	Gift Card	5	0	0	N	Y	Five Stars	Great.	2014-11-01
US	15410251	R3UVI4VHBE0GBQ	B00004WCGD	855109101	Canon Deluxe Gadget Bag 10EG	Camera	5	0	0	N	Y	Canon deluxe gadget bag 10 EG	This one was for me. It is perfect! All of my &#34;stuff&#34; fits. I am so excited about making some pics.	2013-02-19
US	37443764	R9O5OXPIY20DQ	B004RBX0GO	313596648	"Ravelli APGL5 Professional 65"" Ball Head Camera Video Photo Tripod with Quick Release Plate and Carry Bag"	Camera	1	2	3	N	Y	Nice tripod while it worked.	Nice tripod while it worked, but soon after buying it a locking button on one of the legs quit working, now I have a tripod with one leg that will not lock.  This tripod is now living in the back of my closet along with the rest of the 'junk' photography equipment I've accumulated over the years.  I recommend any potential buyer pass this product by, it is simply an inferior design that won't last long.    Follow up:  My review & opinion of the tripod remains unchanged.  I want to note, however, that within 24 hours of placing my review I was contacted by the seller who apologized for the problems I had and shipped me a replacement free of charge.  Hopefully, I won't have problems with the replacement, but a big thumbs up to the seller for going above and beyond in standing behind the sale.	2014-08-18
US	16572093	RGNYO8G61NIN4	B003YUEF0E	463391318	Foscam Outdoor Wireless/Wired IP Camera with 4mm Lens	Camera	5	0	1	N	N	best camera ever	Yes, this camera really works!  it is easy to use and if you have trouble connecting the techs at Foscam will be more than glad to help you out. These people know what they are doing.<br />The camera is very intuitive to use. It has great color definition and the night time features are unmatched. Thank you Foscam!	2013-04-09
US	29276182	R2OCKK11HAMTG	B00HQ4W1QE	313464198	Nikon D3300 Digital SLR	Camera	5	6	6	N	Y	Great camera for the money!	I purchased this camera literally days before a trip to Africa. Thankfully, I had some folks insist that I get a &#34;decent camera&#34; for this trip. After some research I was deciding between the D3300 and D5300, the latter of which, from what I can tell, is just a D3300 with GPS, WiFi, and slightly better autofocus. My wife and I decided that the extra $500 (give or take) wasn't worth it given our limited abilities as photographers.<br /><br />This camera was great for the price. Again, I'm no pro, so this was perfect for our purposes and took some great shots. The GPS on the D5300 would have been nice, but we still are very happy with our purchase.<br /><br />The included lens was good for standard shooting, though we got the Nikon 55-300mm lens for shooting wildlife as well	2015-04-24
US	17263039	R13UU2SFX49B17	B00080576Y	541334767	Sigma Macro Flash Adapter	Camera	5	1	1	N	Y	good buy for different sized accessories.	screws in smoothly with no scratching. Functions well. sturdy. If you need an adapter for a ring flash or any other accessory, this will work. I used this with a Nikon D5000 and D5300 with a 18-55mm Nikon lens.	2014-11-05
US	14467145	R16LPBDNQTSYIA	B00BXA7N6A	551090663	Yongnuo YN560-III Speedlite Flash	Camera	3	0	1	N	Y	Great Value	"I purchased this product shortly after purchasing a Canon 650D.    This flash is great for the price and I would have given it a 5 star rating had it not been for my camera upgrade. I recently upgraded from the 650D to the 5D Mark II (A huge upgrade). Not even thinking twice I attempted using this on my new camera with no flash. The first thing I thought was, \\""Oh no, my camera is broken,\\"" but thankfully for me (but not this review) the fault was in the flash. I thought it was funny because we found out my Canon was fine after using a Nikon flash on it.    Long story short: Don't completely trust all of the models this flash advertises to work with.    I would not recommend this product to a photographer who owns a Cannon 5D Mk II.    I would recommend this product to a photographer who owns a Cannon 650D (T4i) and is looking for a quality flash on a budget."	2015-01-28
US	17050591	R3NJYDGS5SPWD7	B008OXOBYQ	406473730	Actionpro 1080p Hd Video Action Sports Camera Camcorder with Waterproof Case& Remote Control. LCD Screen, Quick Release Buckle Mount, Free Gift Micro Sd Card 4gb, Cm-7200	Camera	4	1	1	N	Y	Action Camera	Dollar for dollar the this camera has more than exceeded my expectations. Accessories are available unfortunately not through Amazon.<br />My camera was purchased to use while fishing from a kayak, it works great.	2013-07-14
US	32086904	R2YYU8UYGOIP6Y	B005HP5EOK	246024791	Mitaki-japan Non-functioning Mock Security Camera No Wiring Needed/Mounting Template Included	Camera	1	1	6	N	Y	Fault advertising	The product is advertised to have motion sensor but it doesn't have it.  The unit keeps blinking red at all time.	2014-03-04
US	15396408	RYPEP5X2UDESN	B004VTAVLE	864352368	Wasabi Power Battery and Charger for Canon LP-E8	Camera	4	0	0	N	Y	Cheap solution to have extra battery	These stuff match the battery life of my original t5i canon, with fraction of the cost<br /><br />I read the video about how to unplug the battery from the charger and it works, thats the only main hassle<br /><br />And as precaution, I never plug this battery to my original canon charger and vice versa<br /><br />So far, no complaint, have used it during 1 week trip with zero problem	2013-11-17
