marketplace	customer_id	review_id	product_id	product_parent	product_title	product_category	star_rating	helpful_votes	total_votes	vine	verified_purchase	review_headline	review_body	review_date
US	34966614	R2D5EO1I1X131D	B002ZYQSJ6	695994994	CowboyStudio 3000 Watt Photo Studio and Video Softbox Lighting Light Kit Boom Set & Carry Case	Camera	1	1	2	N	Y	The worst product in the history of the human race!	Occasionally, a purchase so completely blows you away that it leaves you almost speechless.  Almost!  I have now owned this thing for about 24 hours and if it gave me cancer, I would not like it any less.  I literally thought that I was being punked by Amazon.<br />Somebody should be up on charges!  Perhaps it was the utter lack of any resemblance of an assembly instruction and the fact that this sucker does not exactly come together in a heartbeat, or the missing pieces, or the relatively low light despite the 3000 watts, the fact that I was not the first owner since it came all scratched up in a beat up box.  The list of dislikes is long but to sum it all up, this is singularly the worst purchase that I have ever made and I am already packing it up to send back.  If you are looking for a low quality item that will literally drive you insane with rage, buy two because this one was designed for you!	2013-03-27
US	43087060	R7YREHD072FIW	B000UCFM2E	72851966	Square Perfect 4001 SP1700 Rolling Camera Case Backpack for Digital Photo and Video Cameras	Camera	2	0	0	N	Y	Great for small stuff	The inside dividers do not stay in place.  When you pick up the case everything sort of falls towards the bottom. My digital is expensive and I feel it is not protected as well as it could be.	2013-07-02
US	1078790	R79968D5TCRBV	B00UMYDUYC	333940318	Spideer 52 in 1 Accessories Set for Gopro Hero 4 Hero 3+ Hero 3 Hero 2 & Gopro Hero Camera Sj4000 Sj5000 Sj6000 Accessories Sports Camera: Case+ Handlebar Seatpost Pole Mount+handheld Telescopic Monopod with Tripod Mount Adapter+head Strap+chest Harness + wrist Strap + 3-way Pivot Arm+ Remote Control Velcro Wrist Strap + Suction Cup Mount + Anti-fog Inserts + 3 Blue Aluminum Stainless Screw Bolt +	Camera	3	0	1	N	Y	The kit itself is perfect, and everything works and seems high quality	The kit itself is perfect, and everything works and seems high quality.  The reason I did not give it 4 or 5 stars is that the foam divider that comes in the case was mashed and it will not go back to its correct form, and there is a harder layer of foam at the top that is supposed to be glued to the bottom part, but it separated and I again was unable to get it to go back to the way it was supposed to be.  I bought customizable magic foam and it fit perfect.	2015-04-10
US	31930689	RB9V6LPVA7SOB	B003NCWPNC	750107081	First Alert DW-700 Digital Wireless Security Recording System with 7-Inch LCD Display	Camera	3	2	5	N	Y	First Alert DW-700, Simple - No Frills	This DW-700 system so far has been operating OK. Just remember it is wireless (more subject to interference, low range, low resolution, easily hacked). Purchase a wired system if you want better of the previous mentioned items.<br />  If you want to move the monitor to a different location, just unplug it from the 110v wall socket to another 110v socket, problem is you wont get as far away from the camera as the owner manual states.<br />  The monitor is very easy to pick up and watch hand held, but you wont be able to distinguish facial features, just able to know if the subject is two legged or four legged, not unless the subject is very very close to the camera.<br />  It is not a true statement entirely that you cannot see the infared light, and the camera is able to see in complete darkness. Yes, the camera can see in complete darkness and you can't, but  you can see the camera in the darkness because all the green and red l.e.d.'s emiting the infared are lighted up and you can see where the camera is.<br />  If you want to add another camera, (because of this systems limited range and the expense of that other camera) it would be wiser to buy another DW-700 system and program it's camera to a different location on it's monitor than the other one, this way you can separate the two cameras away from each other as far as you want as long as there is a 110v wall socket at that other location.<br />  Time will tell if this is a dependable product, but as its working now, I would highly recommend this system to anyone wanting an affordable (compared to other high priced units) very simple, very easy to set up and get running, and very simple to move to a different location.<br />  Bottom line, you can get a lot better system, at a lot greater price, with a lot more complications getting it up and running, and a lot less portability.	2013-04-04
US	12052863	R2QSSQ5BATXF9U	B009YTVHVE	372415543	JYC Rear Lens Cover & Camera Body Cap For Nikon Slr, Black	Camera	5	1	1	N	Y	Better fit than original...!	Better fit than original for a great low price...! I buy lots of used lenses/bodies that many times are missing these caps, I bought 10 sets so I have plenty of spares for the future... It takes a while to get them because of the shipping from China but if you are not in a big hurry (I wasn't) you can save a fortune over what others charge... I'd buy these again without a second thought...!	2013-06-06
US	42566150	R32A92KH35Z5RC	B00LH0RRYY	912693464	Simulated Camera Fake Security Camera Dome Shaped with Motion Sensor Blinking Flashing Light 2 Looks Like Real Security Camera - Cordless Battery Operated Dummy Camera - 2 Pack	Camera	5	1	2	N	Y	Five Stars	Look real but not high grade material.	2015-02-26
US	27301220	R1ZLCQ39UGGKBQ	B0108L8WFK	343813926	Nikon COOLPIX S6800 16 MP Wi-Fi CMOS Digital Camera with 12x Zoom NIKKOR Lens and 1080p HD Video (Red) (Certified Refurbished)	Camera	1	1	6	N	N	No Instruction Manual?  Read it on your Smartphone?  Really now.	THINK TWICE ABOUT BUYING NIKON<br /><br />DON’T BUY ANY NIKON PRODUCT IF YOU WANT AN INSTRUCTION MANUAL<br />Because Nikon does not give you an instruction manual, at least not on some models.<br /><br />On 4/16/15 I bought model S6800 (another point and shoot similar to this model) only to find it came with a Quick Start booklet but NO COMPREHENSIVE PRINTED MANUAL. All you get is a link to a PDF.  So, you must learn and memorize the camera before you go out and take pictures OR take your laptop with you OR read the instructions on your Smartphone [paying for the cell time and data charges], OR print-out the PDF & carry its 250 pages on 250 sheets of 8-1/2 x 11 paper in your backpack.<br /><br />I called Customer Care asking them for a Printed manual.  After elevating the call twice, a manager gave me “corporatespeak” that Nikon has “gone green” - doing good for the environment by saving paper.  I was told that no printed manuals exist. It’s clear to me that they used to because the PDF page format is the same 5” x 5” page size of the Quick Start Guide.  I find it hard to believe that they wouldn’t have some around to make customers happy who ask for them. Wrong. I was told that they do not.  The “corporatespeak” was like a broken record; nothing in the conversations I had with three people at Nikon that gave any indication that they cared one iota about making me a happy customer.<br /><br />Getting nowhere, and recognizing that those to whom I had spoken were scripted in what they were to say, have no authority, and are trained to bar to the public’s access to executives who have authority, I asked for the name or at least the title and address of an executive to whom I could write a letter.  I was told that they were not allowed to give this information over the phone (not even the address?)  And that it was all available on the website.  I looked.  There is none; at least I found none after 25 minutes of searching.  It is clear that theydon’t want their senior executives to be contacted and they don’t care about any inconvenience to the customer. Talk about being out of touch with your market.<br	2015-08-28
US	51733449	R3QGYK948KAIPB	B009ZXHWLS	180552452	New Kamerar Tank TK-2 cage with rods support	Camera	4	0	0	N	Y	Well built.	Very well built and lots of mounting options. Only downside is that it is heavy. It's most suited for a tripod setup . . .	2014-12-17
US	15204521	R3KSWQMILJ5IL8	B001TNSXQK	684631958	Wilife PC Based 2 Camera Master Video Security System	Camera	3	0	1	N	Y	Three Stars	lots of glitches<br /><br />poor sync	2015-01-05
US	43635856	R1EP70GFDK9KHG	B0035LBRM6	294945948	Olympus M ED 9-18mm f/4.0-5.6 micro Four Thirds Lens for Olympus and Panasonic Micro Four Third Interchangeable Lens Digital Camera	Camera	5	5	6	N	Y	A great ultra-wide lens	I've had this lens for almost a year now and have found myself using it for a lot of different situations that have opened up new photographic worlds for me.  It's only one of two ultra-wide zooms for Micro Four Thirds, and it is quite a bit less than the Lumix 7-14mm.  It's also smaller, lighter, and can be used with 52mm filters.  For a short time I had the Olympus 12mm prime and found that unless you are pixel peeping or printing out larger than 30x20, you won't notice a difference in detail.  So unless you need the wide aperture for low light, the 9-18mm is a great all-around ultra-wide lens.	2012-04-29
US	13461539	R9YQEFLUUG7BV	B00BVZM84O	185791096	"Dragonpad® 7"" TFT Color Display Wired Video Door Phone Doorbell Intercom System Night Vision"	Camera	3	2	4	N	Y	Love the Concept / Not the Best Product	I live in a home that was built in 1979 that was remodeled prior to purchasing, and the investor removed all wiring.  Since the house is so large this was a great choice; however, it is not the best quality and I am concerned that with Texas heat and sun the device will not last long in the elements.<br /><br />Easy to install, quick delivery and ease of use.	2014-05-25
US	53031684	R1OOH8GFF09XW9	B0002R283S	523790732	Panasonic Lumix DMCFX7	Camera	4	8	8	N	Y	Great little camera	I just got this camera, I've had several dig cameras before, and I want to name the following pros and cons (please note I will be quick!) <br /> <br />Pros <br />really small <br />great big lcd screen <br />easy to use and set up <br />great image stabilization <br />takes good pictures <br />extremely fast  <br />good flash recovery, about 2 seconds <br />battery charges in less than two hours <br /> <br />con <br />battery life is low, much lower than I expected, it can take about 30 or 40 pictures with flash and then it's gone <br /> <br />so, overall that is the only major flaw I find. <br /> <br /> <br /> <br />	2005-07-12
US	15016715	RDA3T10LKT780	B000MEANKQ	468236030	Sony NPFH70 H Series Actiforce Hybrid InfoLithium Battery for most Sony Camcorders	Camera	5	2	2	N	N	Sone NPFH70 Battery	[[ASIN:B000MEANKQ Sony NPFH70 H Series Actiforce Hybrid InfoLithium Battery for most Sony Camcorders]]  This battery is far superior to any battery that comes with the camera when purchased  I was able to tape a whole football game witn no recharge or changing to another battery.	2007-10-28
US	13704160	R3E5B15I8PF4UB	B00P309MZ6	344504872	DJI Phantom 2 Vision+ V3.0 Quadcopter with FPV HD Video Camera and 3-Axis Gimbal (White)	Camera	5	3	4	N	Y	Super Phantom Drone	Super flying camera, great images and easy to fly, but not around the White House, too many trees	2015-02-03
US	52327477	R1JDHEOTWKIP40	B002HOPUPC	626585627	Kodak Zi8 HD Pocket Video Camera NEWEST MODEL	Camera	5	2	3	N	Y	A Great Little Pocket Video	What a great little video camera. Its nearly perfect in every way. Very easy to use, produces stunning pictures - particularly when you plug it into the HDMI input of a large screen HDTV.  I can only pick 2 things that could be improved - it is a fingerprint magnet - a bit like the iPhone, and the Arc Soft Media Impression editing software supplied (in the camera)is very very basic. But when you consider what it costs, these two points fade into the background. Well done Kodak.	2009-09-25
US	28895830	R31GCK9938NIRW	B0007U00XK	983917072	Sigma 10-20mm f/4-5.6 EX DC HSM Lens	Camera	5	3	3	N	Y	Must have for any landscape photographer	I was skeptic about Sigma lenses as I have heard mixed reviews (some say Sigma's products are good, while some say stay away, and the others opine that their QC is not strong). I must say I am pleasantly surprised by the outcome. The lens produces quite good resolution, even if you crop the pictures significantly, it does not lose its sharpness. It does produce some image distorting (stretching at the edges) around 10mm, but I feel this adds to the beauty. The distortion is minor and not as much as a fisheye lens.    I bought this to use with my Nikon D60, and its has become my primary lens!	2009-03-02
US	11564235	R2YV44WV1JAEPI	B000KZ5YJ2	454851273	Hoya 72mm DMC PRO1 Digital Circular Polarizer Glass Filter	Camera	5	1	1	N	Y	Great Circular Polarizer	This feels and looks like an excellent filter. There's no visible lubricant on the ring and hence no chances of getting any lubricant on the glass. The filter rotates smoothly and screws on easily if gently aligned with the lens threads. As far as I can tell in the short time that I've used this filter on a couple of occasions, it is a great filter.	2013-12-17
US	30028941	R1HYDJSS8J76DW	B008QTC6GS	39489094	Binoculars Telescope Tripod Adapter Standard Fit / Fits All Standards, A Must for Vibration-Free Viewing	Camera	4	1	1	N	Y	Some Modification	It worked after a ittle modification. I needed to add a few washers to keep the binoculars from spinning on the adapter. I didn't have grand expectations but for the price it is fine.	2013-10-07
US	20831274	R1RKG31506I01G	B001CMEXSK	551174433	Opteka XL Remote Release Cord for Canon EOS Digital 60d, Rebel XT, XTi, XSi, XS, T1i, & Canon Powershot G10 Digtial SLR Cameras (10 Foot Cord) ~	Camera	4	0	0	N	Y	Great gadget	After reading review after review I decided to buy this remote because of the 10ft cord.  I knew the Canon brand was too short for me.  It does a pretty good job and work very well with my camera.  It does look cheap, but it work and the price is really good.  Great gadget!	2010-01-30
US	35118182	R3MHH7U6XUQSJ0	B0086AJ4AS	520344346	Desmond DAC-02 60mm QR Clamp 3/8 Inches with 1/4 Inches Adapter and Level Arca Compatible for Tripod Head	Camera	5	0	0	N	Y	Well constructed and functions well	Here is a solid adapter that works surprisingly well and will probably outlast my cheesy Walmart Velbon tripod. I will be using this plate to quickly mount my Canon T4i DSLR which has a arca-compatible Joby Ultraplate. I also purchased an arca-compatible plate [[ASIN:B00B13QQGM Desmond P-25 25mm QR Lens / Camera Body Plate Arca Compatible & D-Ring P25 DP-25]] to use with my Panasonic Lumix DS7.	2013-10-02
US	17649617	R3SZRLZ214HC7T	B0039BPG1A	716602542	Case Logic DCB-304 Compact System/Hybrid Camera Case (Black)	Camera	4	0	0	N	Y	Good choice	Good fit for the Nikon Cool Pic camera. Snug but adequate. Small enough to be easy to carry, but padded well enough to protect the camera. Small pockets for accessories like the cable and perhaps extra batteries.	2014-09-13
US	27085620	R2S97OBQ5BFAAW	B001MS6OM2	223800886	GoPro Head Strap Mount	Camera	5	0	1	N	Y	Item as promised quickly shipped.	Item as promised quickly shipped.	2015-03-10
US	47748272	R16U8VBF97RF3I	B00NW53Z2U	415441250	Ade Advanced Optics Adjustable Green Laser Flashlight Designator Illuminator Switch and QD Mount, Class IIIR laser product, <5mW power output	Sports	5	1	1	N	Y	Very NICE!	This thing is awesome!!  The build quality is EXCELLENT.  For the price, I didn't expect much, but this light functions perfectly.  The adjustable mount is a genius idea, and the focus ring works just as it should.  Highly recommended.	2015-04-29
US	43473580	R2ABPLEZGSJ1AS	B004J1J5NE	440472051	Under Armour Big Flag Logo Adjustable Cap, One Size Fits All, Red	Sports	5	0	0	N	Y	For a great cause	Money goes to a great cause so I liked the product n donated my money to a good cause this	2013-03-17
US	45602443	R2J02720LWCZBE	B000KAEK0Q	991586572	Chicago Bears Tailgate Barbecue (BBQ) Grilling Apron NFL	Sports	5	0	0	N	Y	Grill master the Chicago Bears	This was a fantastic find My son is an avid Bears fan ! I purchased this apron and also a grill cover He will be thrilled to death ,he and his wife do alot of football entertaining this will be perfect....	2009-12-15
US	14406325	R3P05Q5N9MH1BD	B00B2I6CP6	781847738	YKS 5*Dark Night LED Badminton Shuttlecock Birdies Lighting Blue	Sports	5	1	1	N	Y	FUN after dark!	My family loved this! We play later in the day due to desert temperatures. Now its fun to play the games even after dark. No excuses for missing this! Purchased all colors and my kids have a blast !!	2013-05-04
